year, month, date, day, project, name, start_hh, start_mm, end_hh, end_mm
2015, 9, 8, 2, ACM-ICPC, Programming Challenges, 10, 12, 10, 39
2015, 9, 8, 2, GUITAR, Practice, 10, 53, 11, 34
2015, 9, 8, 2, ACM-ICPC, Programming Challenges, 12, 55, 13, 43
2015, 9, 8, 2, ACM-ICPC, Programming Challenges, 14, 4, 15, 26
2015, 9, 8, 2, ACM-ICPC, Programming Challenges, 21, 35, 23, 6
2015, 9, 8, 2, EXERCISE, Daily, 11, 49, 11, 59
2015, 9, 9, 3, EXERCISE, Daily, 0, 0, 0, 15
2015, 9, 9, 3, ACM-ICPC, Programming Challenges, 9, 15, 10, 28
2015, 9, 9, 3, ACM-ICPC, Programming Challenges, 14, 34, 15, 27
2015, 9, 9, 3, ACM-ICPC, Programming Challenges, 20, 25, 21, 5
2015, 9, 9, 3, GUITAR, Practice, 21, 51, 22, 42
2015, 9, 9, 3, EXERCISE, Daily, 23, 20, 23, 50
2015, 9, 10, 4, ACM-ICPC, Programming Challenges, 9, 30, 11, 44
2015, 9, 10, 4, PHIL, Reading, 20, 53, 21, 52
2015, 9, 10, 4, GUITAR, Practice, 20, 21, 23, 13
2015, 9, 10, 4, EXERCISE, Daily, 23, 16, 23, 45
2015, 9, 11, 5, ACM-ICPC, Programming Challenges, 9, 40, 10, 24
2015, 9, 11, 5, PHIL, Lecture, 11, 02, 11, 55
2015, 9, 11, 5, PHIL, Lecture, 13, 0, 13, 55
2015, 9, 11, 5, ACM-ICPC, Programming Challenges, 14, 56, 16, 21
2015, 9, 11, 5, GUITAR, Practice, 23, 5, 23, 59
2015, 9, 12, 6, EXERCISE, Daily, 0, 0, 0, 30
2015, 9, 12, 6, GUITAR, Practice, 9, 25, 10, 27
2015, 9, 13, 7, CPSC544, Reading, 10, 0, 12, 30
2015, 9, 14, 1, PHIL, Lecture, 10, 59, 11, 55
2015, 9, 14, 1, PHIL, Reading, 12, 0, 12, 50
2015, 9, 14, 1, PHIL, Lecture, 13, 0, 13, 50
2015, 9, 14, 1, CPSC547, Reading, 14, 3, 14, 43
2015, 9, 14, 1, CPSC544, Lecture, 16, 01, 17, 30
2015, 9, 14, 1, CPSC544, Reading, 19, 33, 20, 59
2015, 9, 14, 1, GUITAR, Practice, 21, 16, 22, 21
2015, 9, 14, 1, EXERCISE, Daily, 22, 35, 23, 13
2015, 9, 14, 1, CPSC547, Reading, 23, 15, 23, 46
2015, 9, 15, 2, CPSC547, Reading, 10, 9, 11, 21
2015, 9, 15, 2, CPSC547, Task, 11, 41, 12, 54
2015, 9, 15, 2, CPSC547, Lecture, 14, 3, 15, 19
2015, 9, 15, 2, ACM-ICPC, Programming Challenges, 16, 0, 18, 30
2015, 9, 15, 2, GUITAR, Practice, 21, 2, 22, 11
2015, 9, 15, 2, EXERCISE, Daily, 23, 15, 23, 55
2015, 9, 16, 3, PHIL, Lecture, 11, 4, 11, 51
2015, 9, 16, 3, PHIL, Lecture, 13, 1, 13, 49
2015, 9, 16, 3, CPSC544, Seminar, 14, 1, 14, 57
2015, 9, 16, 3, CPSC547, Reading, 15, 22, 15, 41
2015, 9, 16, 3, CPSC544, Lecture, 15, 58, 17, 38
2015, 9, 16, 3, CPSC547, Reading, 21, 26, 21, 39
2015, 9, 16, 3, GUITAR, Practice, 21, 56, 22, 37
2015, 9, 16, 3, EXERCISE, Daily, 22, 59, 23, 33
2015, 9, 17, 4, CPSC547, Reading, 0, 8, 0, 52
2015, 9, 17, 4, CPSC547, Reading, 9, 24, 9, 52
2015, 9, 17, 4, CPSC544, Workshop, 10, 0, 12, 0
2015, 9, 17, 4, CPSC547, Task, 13, 0, 13, 29
2015, 9, 17, 4, CPSC547, Lecture, 13, 59, 15, 21
2015, 9, 17, 4, ACM-ICPC, Programming Challenges, 15, 58, 16, 36
2015, 9, 17, 4, ACM-ICPC, Programming Challenges, 20, 59, 20, 4
2015, 9, 17, 4, GUITAR, Practice, 22, 13, 23, 11
2015, 9, 17, 4, EXERCISE, Daily, 23, 20, 23, 50
2015, 9, 18, 5, ACM-ICPC, Programming Challenges, 10, 55, 12, 36
2015, 9, 18, 5, PHIL, Lecture, 13, 2, 13, 52
2015, 9, 18, 5, ACM-ICPC, Programming Challenges, 14, 15, 15, 25
2015, 9, 18, 5, CPSC544, Task, 17, 15, 18, 40
2015, 9, 18, 5, GUITAR, Practice, 23, 51, 23, 59
2015, 9, 19, 6, GUITAR, Practice, 0, 0, 0, 51
2015, 9, 19, 6, ACM-ICPC, Programming Challenges, 9, 12, 10, 26
2015, 9, 19, 6, ACM-ICPC, Programming Challenges, 11, 0, 15, 33
2015, 9, 20, 7, CPSC544, Reading, 11, 4, 11, 15
2015, 9, 20, 7, CPSC544, Reading, 13, 35, 14, 55
2015, 9, 20, 7, CPSC544, Reading, 15, 14, 16, 50
2015, 9, 20, 7, EXERCISE, Daily, 22, 35, 23, 5
2015, 9, 20, 7, CPSC547, Reading, 23, 30, 23, 59
2015, 9, 21, 1, CPSC547, Reading, 0, 0, 1, 28
2015, 9, 21, 1, PHIL, Lecture, 11, 11, 11, 51
2015, 9, 21, 1, PHIL, Lecture, 13, 1, 13, 51
2015, 9, 21, 1, CPSC547, Reading, 15, 4, 15, 37
2015, 9, 21, 1, CPSC544, Lecture, 16, 1, 17, 34
2015, 9, 21, 1, ACM-ICPC, Programming Challenges, 17, 41, 18, 10
2015, 9, 21, 1, ACM-ICPC, Programming Challenges, 19, 27, 20, 21
2015, 9, 21, 1, CPSC547, Reading, 20, 34, 20, 56
2015, 9, 21, 1, CPSC544, Task, 20, 56, 22, 0
2015, 9, 21, 1, GUITAR, Practice, 22, 13, 23, 16
2015, 9, 21, 1, EXERCISE, Daily, 23, 24, 23, 54
2015, 9, 22, 2, CPSC547, Reading, 10, 7, 10, 38
2015, 9, 22, 2, CPSC547, Lecture, 14, 3, 15, 24
2015, 9, 22, 2, CPSC544, Task, 15, 37, 18, 23
2015, 9, 22, 2, CPSC547, Reading, 19, 55, 20, 58
2015, 9, 22, 2, GUITAR, Practice, 22, 35, 23, 59
2015, 9, 23, 3, GUITAR, Practice, 0, 0, 0, 3
2015, 9, 23, 3, EXERCISE, Daily, 0, 15, 0, 50
2015, 9, 23, 3, CPSC547, Reading, 9, 33, 10, 3
2015, 9, 23, 3, PHIL, Lecture, 11, 3, 11, 52
2015, 9, 23, 3, CPSC544, Task, 12, 14, 12, 22
2015, 9, 23, 3, PHIL, Lecture, 13, 1, 13, 50
2015, 9, 23, 3, CPSC544, Task, 14, 32, 15, 26
2015, 9, 23, 3, CPSC547, Reading, 15, 29, 15, 40
2015, 9, 23, 3, CPSC544, Lecture, 16, 2, 17, 41
2015, 9, 23, 3, CPSC547, Reading, 20, 34, 21, 43
2015, 9, 23, 3, GUITAR, Practice, 23, 39, 23, 59
2015, 9, 24, 4, GUITAR, Practice, 0, 0, 0, 35
2015, 9, 24, 4, CPSC544, Workshop, 10, 0, 12, 1
2015, 9, 24, 4, CPSC547, Task, 13, 5, 13, 25
2015, 9, 24, 4, CPSC547, Lecture, 14, 1, 15, 24
2015, 9, 24, 4, CPSC547, Task, 23, 37, 23, 59
2015, 9, 25, 5, CPSC547, Task, 0, 0, 0, 35
2015, 9, 25, 5, PHIL, Lecture, 13, 9, 13, 52
2015, 9, 25, 5, ACM-ICPC, Programming Challenges, 14, 20, 15, 30
2015, 9, 25, 5, GUITAR, Practice, 23, 45, 23, 59
2015, 9, 26, 6, GUITAR, Practice, 0, 0, 0, 52
2015, 9, 26, 6, ACM-ICPC, Practice, 12, 50, 16, 40
2015, 9, 27, 7, CPSC544, Reading, 9, 54, 10, 11
2015, 9, 27, 7, CPSC544, Reading, 19, 15, 11, 29
2015, 9, 27, 7, GUITAR, Practice, 22, 7, 23, 20
2015, 9, 28, 1, CPSC547, Reading, 10, 13, 10, 55
2015, 9, 28, 1, PHIL, Lecture, 11, 0, 11, 50
2015, 9, 28, 1, CPSC547, Reading, 12, 40, 12, 57
2015, 9, 28, 1, PHIL, Lecture, 13, 1, 13, 52
2015, 9, 28, 1, CPSC544, Lecture, 16, 8, 17, 22
2015, 9, 28, 1, CPSC544, Task, 18, 25, 19, 38
2015, 9, 28, 1, CPSC544, Task, 21, 40, 22, 6
2015, 9, 28, 1, GUITAR, Practice, 22, 10, 22, 45
2015, 9, 28, 1, EXERCISE, Daily, 22, 58, 23, 24
2015, 9, 28, 1, CPSC547, Reading, 23, 37, 23, 59
2015, 9, 29, 2, CPSC547, Reading, 0, 0, 0, 9
2015, 9, 29, 2, CPSC547, Reading, 9, 52, 10, 54
2015, 9, 29, 2, CPSC547, Task, 10, 56, 12, 36
2015, 9, 29, 2, CPSC547, Lecture, 14, 3, 15, 20
2015, 9, 29, 2, CPSC544, Task, 15, 31, 17, 29
2015, 9, 29, 2, CPSC544, Task, 19, 38, 20, 58
2015, 9, 29, 2, CPSC544, Task, 21, 16, 20, 6
2015, 9, 29, 2, GUITAR, Practice, 22, 6, 23, 30
2015, 9, 29, 2, EXERCISE, Daily, 23, 32, 23, 59
2015, 9, 29, 2, EXERCISE, Daily, 0, 0, 0, 5
2015, 9, 30, 3, PHIL, Lecture, 11, 6, 11, 51
2015, 9, 30, 3, PHIL, Lecture, 13, 8, 13, 50
2015, 9, 30, 3, CPSC544, Task, 14, 9, 16, 0
2015, 9, 30, 3, CPSC544, Lecture, 16, 3, 17, 19
2015, 9, 30, 3, CPSC547, Reading, 17, 47, 18, 18
2015, 9, 30, 3, CPSC544, Task, 20, 14, 20, 45
2015, 9, 30, 3, CPSC544, Task, 21, 3, 21, 33
2015, 10, 1, 4, CPSC547, Reading, 0, 10, 2, 20
2015, 10, 1, 4, CPSC547, Reading, 2, 27, 3, 15
2015, 10, 1, 4, CPSC544, Workshop, 10, 3, 12, 1
2015, 10, 1, 4, CPSC547, Task, 12, 45, 13, 58
2015, 10, 1, 4, ACM-ICPC, Programming Challenges, 14, 6, 14, 25
2015, 10, 1, 4, ACM-ICPC, Programming Challenges, 16, 1, 16, 41
2015, 10, 1, 4, GUITAR, Practice, 23, 23, 23, 59
2015, 10, 2, 5, GUITAR, Practice, 0, 0, 0, 8
2015, 10, 2, 5, PHIL, Lecture, 11, 8, 11, 55
2015, 10, 2, 5, PHIL, Lecture, 13, 0, 13, 49
2015, 10, 2, 5, ACM-ICPC, Programming Challenges, 15, 24, 16, 26
2015, 10, 3, 6, ACM-ICPC, Programming Challenges, 11, 50, 13, 15
2015, 10, 4, 7, CPSC544, Reading, 2, 4, 2, 37
2015, 10, 4, 7, CPSC544, Reading, 10, 8, 10, 47
2015, 10, 4, 7, ACM-ICPC, Programming Challenges, 11, 0, 11, 38
2015, 10, 4, 7, CPSC547, Reading, 15, 12, 16, 15
2015, 10, 4, 7, CPSC547, Reading, 23, 48, 23, 59
